subject,negLL,alpha_rw_opt,alpha_ck_op,beta_rw_opt,beta_ck_opt,BIC,optimal_init_params,group
4151,2057.483106869103,0.38907016365946695,0.10086565274849256,0.08658163407379131,2.503629922399442,4148.488040409577,"(0.6666666666666666, 0.6666666666666666, 0.1, 1.7333333333333336)",Easy
4152,1710.6113236880392,1.0,0.04831567465198644,0.0845667366821438,2.5566776444550023,3453.8647203659884,"(1.0, 0.3333333333333333, 0.1, 3.366666666666667)",Easy
4154,666.668368995357,0.013914038605534845,0.03244851966786086,0.16432918196556534,2.98941890291593,1363.0902721108912,"(0.0, 0.0, 1.7333333333333336, 0.1)",Easy
5091,2456.929774714044,0.01,0.07989077367224097,0.01,2.5262833603402592,4948.085205046366,"(0.0, 1.0, 1.7333333333333336, 1.7333333333333336)",Easy
5354,1127.3954351875454,0.012189007503679447,0.07752929783378269,0.01,3.0699550796992847,2287.316993217508,"(0.0, 1.0, 0.1, 1.7333333333333336)",Easy
6832,2381.986250398259,0.010887769750149314,0.01,0.062051235344682744,3.016343552047658,4798.198156414796,"(0.0, 0.0, 3.366666666666667, 5.0)",Easy
6833,565.86630297968,0.01,0.1078935039820668,0.1397002138792567,2.828494076680821,1161.180648164399,"(0.0, 0.0, 0.1, 1.7333333333333336)",Easy
6951,1155.1553804926998,0.01,0.017575466727933694,0.5860013317349365,3.2066232066679765,2342.0602597700527,"(0.0, 0.0, 1.7333333333333336, 3.366666666666667)",Easy
8012,1229.5172471161404,0.01,0.02481180038201371,0.01,2.7949120319397793,2490.783993016934,"(0.6666666666666666, 0.3333333333333333, 5.0, 1.7333333333333336)",Easy
8332,3568.712104169625,0.01,0.01,0.01,3.0167174673468393,7173.471766072259,"(1.0, 0.0, 3.366666666666667, 5.0)",Easy
8451,1155.96504626934,0.05150366038513832,0.012477803495524851,0.34037748648605487,3.3744581131502382,2343.679591323333,"(0.0, 0.6666666666666666, 1.7333333333333336, 0.1)",Easy
849,1419.9037049905182,0.01870454136944485,0.04228235044210263,0.010001858021649981,3.113928655894021,2872.9836085414445,"(0.0, 1.0, 3.366666666666667, 1.7333333333333336)",Easy
422,1242.6823964283767,0.010002482995603088,0.02286073307797288,0.01,3.2034820402929927,2517.8909156991704,"(0.0, 0.3333333333333333, 0.1, 5.0)",Easy
441,841.070601796135,0.010000000000000009,0.03303458876555251,0.01,3.1826724679942977,1712.9260541496556,"(0.6666666666666666, 0.0, 0.1, 3.366666666666667)",Easy
532,2475.562373126565,0.01,0.05474882182790445,0.01,2.3654542646120738,4984.859992583039,"(0.0, 1.0, 1.7333333333333336, 0.1)",Easy
4151,2461.509797738098,0.021689480156892354,0.14200140053744148,1.1749709481187693,2.4571321995316966,4957.321443874356,"(1.0, 1.0, 0.1, 5.0)",Hard
4152,1700.1183593002136,0.01,0.06817372034028354,0.01,2.5630214406642886,3432.878791590337,"(1.0, 0.3333333333333333, 3.366666666666667, 0.1)",Hard
4154,839.7986197996701,0.01,0.01780377326966795,1.5859083302434194,3.486810506700782,1710.559897207009,"(0.0, 0.0, 0.1, 5.0)",Hard
5091,428.304992009508,0.011410849029208709,0.09005916890844325,0.2055990013472702,2.5596691481508866,883.9678897719314,"(0.0, 0.0, 3.366666666666667, 0.1)",Hard
5354,1228.440027441692,0.011139557221727787,0.045093876803351245,0.010190464306834473,3.2259642079991764,2489.406177725801,"(0.0, 0.6666666666666666, 0.1, 5.0)",Hard
6832,1115.0778466339657,0.01,0.029075775110162145,0.01,2.9504086236677365,2261.9051920525844,"(0.0, 0.0, 1.7333333333333336, 3.366666666666667)",Hard
6833,2658.5100354285605,0.01,0.02909788827736049,0.01,2.8929229506333205,5351.682523643259,"(0.0, 0.3333333333333333, 5.0, 3.366666666666667)",Hard
6951,2576.3833077552545,0.010069600882457,0.01643513668246994,0.01,3.047388190161259,5187.8228285879,"(0.3333333333333333, 0.6666666666666666, 0.1, 3.366666666666667)",Hard
8012,659.942526095,0.01003427486990545,0.04443264352355066,0.014613582924895696,3.220055529479787,1350.6699027473855,"(0.0, 0.6666666666666666, 3.366666666666667, 5.0)",Hard
8332,2840.053939082263,0.028341656875564128,0.03915447199303517,0.01,2.8939902725699915,5715.522539876675,"(0.0, 1.0, 0.1, 1.7333333333333336)",Hard
8451,1725.155404388237,0.010227468724012017,0.03883097666494004,0.01,3.047987918762093,3484.046055106383,"(0.0, 0.6666666666666666, 1.7333333333333336, 3.366666666666667)",Hard
849,1908.3475355600792,0.01,0.06091348299701307,0.6636500618868488,2.594934054958568,3849.8712696805665,"(0.0, 0.3333333333333333, 3.366666666666667, 1.7333333333333336)",Hard
422,2401.4752663483187,0.010011114825860012,0.06231629126137217,0.01,2.7292398544738634,4837.176188314916,"(0.0, 0.3333333333333333, 0.1, 0.1)",Hard
441,2641.710004820607,0.011830731941507548,0.017527170899771807,0.31379874212255066,2.9153949121602247,5317.942097148107,"(0.0, 0.0, 3.366666666666667, 3.366666666666667)",Hard
532,694.24746462191,0.011949745288575364,0.05857744896024047,0.5906199904041484,2.8178933301866063,1418.0059648767315,"(0.0, 0.0, 1.7333333333333336, 5.0)",Hard
