subject,negLL,Fitted αʳʷ,Fitted αᶜᵏ,Fitted β,BIC,optimal_init_params,group
422,1353.8796163902823,0.01,0.0821641179740018,1.4126038931916596,2732.1538249123773,"(0.0, 0.25, 1.3250000000000002)",Easy
441,892.1213554979383,0.01,0.059277841015284,1.6324625133357085,1807.331348913916,"(0.0, 0.75, 1.3250000000000002)",Easy
532,2548.3754178993045,0.01,0.1716285476159572,0.8997399255641065,5122.052270546041,"(0.25, 0.25, 2.5500000000000003)",Easy
849,1396.771534669989,0.01,0.156510693849236,1.5772683080038583,2818.425218260284,"(1.0, 0.25, 0.1)",Easy
4151,2164.877838820669,0.01,0.2794453668159133,1.0544259797847064,4354.897047644867,"(0.0, 0.25, 1.3250000000000002)",Easy
4152,1726.3569074865743,0.01,0.211737636604998,1.1936697428164331,3477.1953697155814,"(0.25, 0.5, 0.1)",Easy
4154,696.0163886775844,0.01,0.0961753635387011,1.6564159019185534,1414.3479279453015,"(0.0, 0.0, 3.7750000000000004)",Easy
5091,2512.212592382719,0.01,0.1951153297082049,1.054733325244318,5050.094426479146,"(0.0, 0.0, 2.5500000000000003)",Easy
5354,1206.9002153553631,0.01,0.2754482661261203,1.4944545297148677,2438.1950228425394,"(0.0, 1.0, 2.5500000000000003)",Easy
6832,2601.161965214127,0.01,0.0576091897765023,1.1119502558405705,5227.9931721419625,"(0.0, 0.0, 1.3250000000000002)",Easy
6833,504.4215491168751,0.01,0.2134507784517502,1.8794366174517136,1030.9291298875294,"(0.0, 0.0, 2.5500000000000003)",Easy
6951,1069.458040946156,0.01,0.0821513316249276,1.57913387116162,2162.7282059808017,"(0.0, 0.5, 1.3250000000000002)",Easy
8012,1304.6272844512373,0.01,0.0660005889921826,1.2695571201082687,2633.0666929909644,"(0.0, 0.0, 2.5500000000000003)",Easy
8332,3852.697540898969,0.01,0.0796619976615621,1.0739306488675182,7732.430750097696,"(0.0, 0.0, 1.3250000000000002)",Easy
8451,1260.346753433892,0.01,0.014204217343118,1.6514826811157477,2544.5056309562738,"(1.0, 0.25, 2.5500000000000003)",Easy
422,2669.016140556984,0.01,0.195076483837608,1.0316762378999391,5363.701522827676,"(0.0, 1.0, 3.7750000000000004)",Hard
441,2818.217164896577,0.01,0.100403187903558,1.1172466309325393,5662.325895423323,"(0.0, 0.75, 3.7750000000000004)",Hard
532,704.075284865258,0.01,0.1026720803207591,1.6180562611814582,1430.2838464551996,"(0.0, 0.5, 0.1)",Hard
849,2051.67621259091,0.01,0.1520451532451721,1.0697024463555072,4128.234574102126,"(0.0, 0.75, 5.0)",Hard
4151,2488.567394178394,0.01,0.389966319507353,1.107465527663864,5002.861174655409,"(1.0, 0.25, 1.3250000000000002)",Hard
4152,1743.1454462288707,0.01,0.1492667360243857,1.0897419854595047,3510.7724472001737,"(0.5, 0.5, 1.3250000000000002)",Hard
4154,861.9573466817073,0.01,0.0556465730146547,1.8266279571220605,1747.1366865691664,"(1.0, 1.0, 1.3250000000000002)",Hard
5091,466.28495326851566,0.0488171144688573,0.1642506244935529,1.3012169619775245,953.0883358517178,"(0.0, 0.0, 3.7750000000000004)",Hard
5354,1400.2008540078484,0.01,0.1575883298442307,1.404190252046064,2824.7963001475096,"(0.0, 1.0, 1.3250000000000002)",Hard
6832,1051.8093148263831,0.01,0.1253470337334979,1.591297793849353,2127.4307537412565,"(0.0, 0.0, 1.3250000000000002)",Hard
6833,2889.185997193662,0.01,0.1068567168089529,1.0582907833788229,5804.368833976928,"(0.25, 1.0, 0.1)",Hard
6951,2872.158633569717,0.01,0.0898744217109164,1.2193376420945443,5770.609426947478,"(0.0, 0.5, 3.7750000000000004)",Hard
8012,682.8976851124746,0.01,0.0649713778123103,1.973327380988858,1388.8840081429885,"(0.5, 0.0, 1.3250000000000002)",Hard
8332,3238.305401954587,0.01,0.1230059587934396,1.2016446256556692,6503.171800193287,"(0.5, 0.25, 5.0)",Hard
8451,1689.6994494610758,0.01,0.1381442847929351,1.428947526018892,3404.700333669583,"(0.25, 0.25, 0.1)",Hard
