subject,negLL,Fitted αʳʷ,Fitted αᶜᵏ,Fitted β,BIC,optimal_init_params,group
4151.0,2346.561463837377,0.4344228929613701,0.21428638413356,0.7767933668576993,4718.264297678283,"(0.75, 0.0, 1.3250000000000002)",Easy
4152.0,1884.8074560274283,0.2272384816102252,0.2708486672840534,0.832008208786839,3794.096466797289,"(0.25, 0.25, 0.1)",Easy
4154.0,739.3844109984316,0.3219865698057195,0.3219865698057195,1.0808728206844966,1501.083972586996,"(0.75, 0.75, 2.5500000000000003)",Easy
5091.0,2724.840596879824,0.5228049256069444,0.2539614821115978,0.8512493439197352,5475.350435473355,"(0.0, 1.0, 0.1)",Easy
5354.0,1340.397305174588,0.073705509954045,0.3132147437075493,1.180242710768772,2705.189202480989,"(0.25, 0.0, 0.1)",Easy
6832.0,2713.165818857081,0.9610768957302244,0.0697355408020568,0.8748379807844918,5452.00087942787,"(0.75, 1.0, 1.3250000000000002)",Easy
6833.0,756.8835969249211,0.4574942215817855,0.2725623616056242,1.0459892732793383,1535.8532255036214,"(0.5, 0.25, 1.3250000000000002)",Easy
6951.0,1355.6251991135491,0.8716258152308353,0.093406121973594,0.9603485951044058,2735.062522315588,"(0.5, 1.0, 0.1)",Easy
8012.0,1310.070361865554,0.6748297118718957,0.1216757330942944,0.9567407391268198,2643.952847819597,"(0.25, 1.0, 1.3250000000000002)",Easy
8332.0,3972.595939015117,0.913169483099587,0.0696396854112904,0.9380393653637744,7972.227546329992,"(0.25, 0.75, 3.7750000000000004)",Easy
8451.0,1380.3070599951802,0.6578385517046874,0.07796097622081,1.0305331222631362,2784.4262440788502,"(0.25, 1.0, 1.3250000000000002)",Easy
849.0,1720.7179307560275,0.8461474461966265,0.1269371226068475,1.0941751019479813,3466.318010432361,"(0.25, 1.0, 2.5500000000000003)",Easy
422.0,1421.393558833122,1.0,0.1187957316384514,1.1231257500116518,2867.1817097980565,"(0.0, 0.25, 2.5500000000000003)",Easy
441.0,999.7920875740176,0.4298462943989914,0.1599416988407849,1.0301178922299836,2022.6728130660747,"(0.0, 0.75, 2.5500000000000003)",Easy
532.0,2654.4897227779634,0.7455415817521522,0.132090019105587,0.7128386085626754,5334.280880303359,"(1.0, 0.25, 3.7750000000000004)",Easy
4151.0,2678.0126811680884,0.4944540813198345,0.3432591228658317,0.8993284917785885,5381.751748634798,"(0.5, 1.0, 0.1)",Hard
4152.0,1904.4485602652308,0.4059656216426215,0.1896781262079905,0.775272579904344,3833.378675272894,"(0.5, 0.25, 0.1)",Hard
4154.0,1006.1866882999803,0.1509624756802744,0.2025670338828074,1.069911012567461,2035.5953698057124,"(0.5, 1.0, 3.7750000000000004)",Hard
5091.0,446.7488651383147,0.01,0.1823059162589715,0.9540928328356152,914.016159591316,"(0.0, 0.25, 1.3250000000000002)",Hard
5354.0,1467.9903693451713,0.9409285523617338,0.1622910584065632,1.085281394950529,2960.375330822156,"(0.0, 1.0, 2.5500000000000003)",Hard
6832.0,1349.913881478723,0.9109040299345718,0.1012420597437561,0.983053887447581,2723.639887045936,"(1.0, 0.25, 0.1)",Hard
6833.0,2987.0117740473497,0.4118189405632486,0.2400791036863547,0.948408969976906,6000.020387684303,"(0.75, 0.0, 2.5500000000000003)",Hard
6951.0,2990.106088841864,0.5000000025853965,0.1866561095366115,1.0903507299433413,6006.50433749177,"(0.5, 0.0, 1.3250000000000002)",Hard
8012.0,951.9424696065214,0.5269950570071666,0.1079426849612161,1.18086413268186,1926.973577131082,"(0.25, 0.25, 1.3250000000000002)",Hard
8332.0,3407.231830403429,0.5375560645862151,0.1516105926935408,0.9737724787173706,6841.02465709097,"(0.0, 1.0, 0.1)",Hard
8451.0,1945.2039856137312,0.5000000064555469,0.1752704374931753,1.1054741332208553,3915.709405974894,"(0.5, 0.0, 1.3250000000000002)",Hard
849.0,2128.635983990509,0.3732314677978848,0.1619445723013614,0.8425293305575208,4282.154116901324,"(0.0, 0.25, 1.3250000000000002)",Hard
422.0,2753.306794929804,0.4347377287405456,0.1627941221502872,0.8620028449687686,5532.282831573316,"(0.25, 0.5, 1.3250000000000002)",Hard
441.0,3089.378449390152,0.1750807131949459,0.121906382588613,0.8371660509784284,6204.648464410474,"(0.75, 0.5, 3.7750000000000004)",Hard
532.0,757.4488662058429,0.4933209411995961,0.2491345125335253,0.9590612231123464,1537.0310091363694,"(0.0, 1.0, 0.1)",Hard
