subject,negLL,Fitted αʳʷ,Fitted αᶜᵏ,Fitted βʳʷ,Fitted βᶜᵏ,BIC,optimal_init_params,Q_init,CK_init,group
422,1316.513950185388,0.01,0.0445580078509118,1.150429880421814,1.150606722154235,2665.554023213193,"(0.0, 0.5, 0.1, 0.1)","[[0.6264552254621015, 0.9997399755376006], [0.9999992879433186, 0.0006642419228524159], [0.39166598363931604, 0.9999999980408425], [0.9999999999999994, 0.0]]","[[0.0025223088756611525, 0.9974776911243388], [0.9026192995972525, 0.09738070040274754], [0.002415223231659227, 0.9975847767683408], [0.8902964551196288, 0.10970354488037116]]",Easy
441,918.5859013946072,0.01,0.25,0.1,2.5500000000000003,1867.9566533466,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.7371007678667302, 0.995805377016749], [0.9999999242883062, 7.654082175813221e-05], [0.3015997061464895, 0.9999999999715239], [0.9999999999999994, 0.0]]","[[4.48475103695971e-09, 0.999999995515249], [0.9730880071274108, 0.026911992872589146], [3.3335027721364027e-15, 0.9999999999999967], [0.9984353204724586, 0.0015646795275413498]]",Easy
532,2422.555570387532,0.01,0.0754999816801873,1.1131313766739872,1.113246865593219,4878.846387104972,"(0.0, 0.5, 0.1, 0.1)","[[0.031274485138356775, 0.9999819086150101], [0.1408844022376704, 0.9997866142498321], [0.9994658867448012, 0.042178030663886784], [0.9999999999999994, 0.0]]","[[0.2590378781718716, 0.7409621218281283], [0.21950927266933143, 0.7804907273306685], [0.8021474742895265, 0.19785252571047346], [0.8416317423450286, 0.15836825765497134]]",Easy
849,1412.1440663763274,0.01,0.25,0.1,2.5500000000000003,2857.4643313130628,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.2269875870745428, 0.9999175942075839], [0.13533299466074125, 0.9999999704418371], [0.9999993041798758, 0.004575771239577829], [0.9999999999999994, 0.0]]","[[0.02608529974281308, 0.9739147002571868], [0.1414178029847335, 0.8585821970152663], [0.9994051460620402, 0.0005948539379597346], [0.9664897177335083, 0.03351028226649171]]",Easy
4151,2084.4382458705886,0.01,0.2228185105482887,1.1233175203721557,1.123253081232552,4202.398318412548,"(0.25, 0.5, 0.1, 0.1)","[[0.007814528062880124, 0.9998815315800901], [0.9997040669994562, 0.20027702093766733], [0.05588568098351079, 0.998991323968167], [0.9999999999999994, 0.0]]","[[0.4588309978426739, 0.5411690021573261], [0.9999577559713039, 4.224402869615596e-05], [0.4546194375129432, 0.5453805624870569], [0.8267846998752347, 0.1732153001247653]]",Easy
4152,1759.515782510114,0.01,0.25,0.1,2.5500000000000003,3551.673638010138,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.19540621732390187, 0.9995265476657139], [0.4564746218511871, 0.9989685732308253], [0.9889994147451947, 0.05309315566125256], [0.9999999999999994, 0.0]]","[[0.220245940458407, 0.779754059541593], [0.0812827386146706, 0.9187172613853294], [0.7519396969330903, 0.24806030306690968], [0.9341395785444382, 0.06586042145556172]]",Easy
4154,718.1303138259865,0.01,0.01,2.5500000000000003,0.1,1466.01416177215,"(0.0, 0.0, 2.5500000000000003, 0.1)","[[0.529135734693051, 0.9788513728516341], [0.948773986774878, 0.5633235635436789], [0.8253336216709477, 0.9432243986277818], [0.9999999999999994, 0.0]]","[[0.038426912246540004, 0.9615730877534603], [0.7981758649141807, 0.20182413508581926], [0.09267694820666866, 0.9073230517933312], [0.8454828622326198, 0.15451713776738024]]",Easy
5091,2489.694433696078,0.01,0.25,0.1,2.5500000000000003,5013.614523010434,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.006716660792013262, 0.9999916682934233], [0.9999968562113339, 0.07323225734536538], [0.0801668250445114, 0.9999963360582831], [0.9999999999999994, 0.0]]","[[0.8041702357687409, 0.19582976423125914], [0.9835961836355492, 0.016403816364450742], [0.642094453320863, 0.35790554667913704], [0.9894411894884293, 0.010558810511570751]]",Easy
5354,1186.3099174836527,0.01,0.25,0.1,2.5500000000000003,2405.1459578097224,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.29674572742396443, 0.9997677161375319], [0.9999999569789073, 0.0034847079350601023], [0.07778579017386437, 0.999999997885231], [0.9999999999999994, 0.0]]","[[0.0025056489394046366, 0.9974943510605951], [0.8339396141941252, 0.16606038580587482], [8.109002217440562e-24, 0.9999999999999998], [0.7241730069414545, 0.2758269930585455]]",Easy
6832,2440.7407698027528,0.01,0.0666622583107201,1.9335752524592755,0.7566118956686868,4915.707195223784,"(0.25, 1.0, 0.1, 1.3250000000000002)","[[0.24232097905029665, 0.9999954679457865], [0.9999999999508185, 2.4319380933997852e-05], [0.03377702687274661, 0.9999999999999692], [0.9999999999999994, 0.0]]","[[2.3149474111030966e-09, 0.9999999976850525], [0.8553557087191237, 0.14464429128087608], [0.020731532334442075, 0.979268467665558], [0.9312322645547344, 0.06876773544526558]]",Easy
6833,502.2697799510893,0.01,0.25,0.1,2.5500000000000003,1033.9876021072175,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.19723516693920343, 0.9648002681027297], [0.9320653478611496, 0.9400424434946525], [0.8805467870719136, 0.4520436502664617], [0.9999999999999994, 0.0]]","[[0.879899263381958, 0.12010073661804195], [0.4685011951777127, 0.5314988048222873], [0.9391386786622071, 0.06086132133779286], [0.8951084356282335, 0.10489156437176646]]",Easy
6951,1059.132778177615,0.01,0.0692499954431771,1.662254680278586,1.6622546802784883,2150.015055139883,"(1.0, 1.0, 0.1, 0.1)","[[0.2541934636590157, 0.99818087120528], [0.8600583545989895, 0.9998306451765727], [0.9988842591773559, 0.1313134793282845], [0.9999999999999994, 0.0]]","[[0.00010856300681143767, 0.9998914369931887], [1.5918803250962904e-08, 0.9999999840811968], [0.9154674921519537, 0.08453250784804647], [0.9199582459715783, 0.08004175402842163]]",Easy
