subject,negLL,Fitted α,Fitted β,BIC,optimal_init_params,group
4151,3019.8372752260675,0.7033310943036103,0.1880570148221992,6056.4354637878205,"(0.78, 0.01)",Easy
4152,2426.4719818269914,0.01,0.01,4869.265000148937,"(0.01, 0.01)",Easy
4154,1178.2216357577047,0.01,0.01,2371.320038575498,"(1.0, 1.12)",Easy
5091,3603.964795598081,0.01,0.01,7225.042419005301,"(0.01, 0.01)",Easy
5354,2357.926886868666,0.01,0.01,4732.11683515854,"(0.01, 0.01)",Easy
6832,3606.0222353761055,0.01,0.01,7229.157298561352,"(0.89, 3.34)",Easy
6833,1092.0132403263838,0.01,0.01,2198.750501755287,"(0.12, 2.23)",Easy
6951,1941.5523167613835,0.01,0.01,3898.979382915093,"(0.01, 0.01)",Easy
8012,1941.351364458767,0.0100000000000001,0.01,3898.577478309861,"(0.01, 3.34)",Easy
8332,5685.836412506354,0.01,0.01,11389.696603879212,"(0.78, 1.12)",Easy
8451,1941.961743648918,0.01,0.01,3899.7982366901615,"(1.0, 1.12)",Easy
849,2773.355296632703,0.01,0.01,5563.29869254561,"(0.23, 2.23)",Easy
422,2357.721862019101,0.01,0.01,4731.706785459411,"(0.01, 0.01)",Easy
441,1526.137416402711,0.01,0.01,3067.6672580841155,"(0.01, 0.01)",Easy
532,3189.3795781187946,0.01,0.01,6395.626779402543,"(0.12, 2.23)",Easy
4151,3673.8514374558026,0.01,0.01,7364.853799110686,"(0.01, 0.01)",Hard
4152,2426.8094659234507,0.01,0.01,4869.939968341856,"(0.01, 0.01)",Hard
4154,1594.859673042758,0.01,0.01,3205.2006748893505,"(0.01, 0.01)",Hard
5091,647.4199854932475,0.01,0.01,1308.5189238629528,"(0.45, 2.23)",Hard
5354,2358.2869629902298,0.01,0.01,4732.836987401668,"(0.01, 0.01)",Hard
6832,1942.206945016664,0.01,0.01,3900.288639425655,"(0.89, 2.23)",Hard
6833,4022.336159054165,0.01,0.01,8062.003544501398,"(0.01, 1.12)",Hard
6951,4438.271186578275,0.01,0.01,8894.070479695245,"(0.01, 0.01)",Hard
8012,1526.9537835274637,0.0823895380925016,0.01,3069.29999233362,"(1.0, 4.45)",Hard
8332,4855.40241145053,0.01,0.01,9728.512153757136,"(1.0, 1.12)",Hard
8451,3189.200441239293,0.01,0.01,6395.268505643539,"(1.0, 1.12)",Hard
849,2773.1030116648085,0.01,0.01,5562.794122609821,"(0.23, 2.23)",Hard
422,3606.4540456581417,0.01,0.01,7230.020919125423,"(0.01, 2.23)",Hard
441,3884.233697989154,0.01,0.01,7785.728439731756,"(0.34, 1.12)",Hard
532,1109.1465216637937,0.01,0.01,2233.048561144043,"(0.01, 2.23)",Hard
