subject,negLL,alpha_rw_opt,alpha_ck_op,beta_rw_opt,beta_ck_opt,BIC,optimal_init_params,Q_init,CK_init,group
422,1111.4635657792617,0.01,0.01,0.1,2.5500000000000003,2254.1425047726784,"(0.0, 0.0, 0.1, 2.5500000000000003)","[[0.8618615522075619, 0.7912603708051965], [0.0, 0.9824066627351284], [0.9560918115149285, 0.0], [0.9573959286211237, 0.0]]","[[0.4109720660596123, 0.5890228070285164], [0.02648674048488559, 0.9577612716417994], [0.860083363751526, 0.12249923235625089], [0.8492038551500547, 0.1364064322455188]]",Easy
441,1062.9341154209633,0.01,0.11082854656470614,1.2550776623798379,1.2550776366911987,2157.321297737965,"(0.75, 1.0, 0.1, 0.1)","[[0.9559346123835454, 0.7583090279997147], [0.0, 0.9997616519978636], [0.9987359355640208, 0.0], [0.9986162664805058, 0.0]]","[[0.3315333713815905, 0.6684666286184096], [2.2129317908132013e-09, 0.9999999977870683], [0.874359944734908, 0.12564005526509212], [0.8189639401341058, 0.18103605986589416]]",Easy
532,1218.1053886644827,0.01,0.0490171196047746,0.9604495723659638,0.961229534946841,2467.6638442250037,"(1.0, 0.0, 0.1, 0.1)","[[0.7261749648400057, 0.9729399393964883], [0.9809336890571025, 0.642458436893212], [0.33061464116693534, 0.9661888004123499], [0.9999792716943865, 0.0]]","[[0.6073495191963515, 0.39265048080364845], [0.9997832296466677, 0.00021677035333226929], [0.0568308313166425, 0.9431691686833575], [0.9668705291054874, 0.03312947089451262]]",Easy
849,1168.128385120864,0.01,0.01,0.1,2.5500000000000003,2367.7098371377665,"(0.0, 0.0, 0.1, 2.5500000000000003)","[[0.7999477150886154, 0.7820560826987837], [0.9993013724721661, 0.21482323281075896], [0.3207950557096361, 0.9996099799077528], [0.999999449358356, 0.0]]","[[0.46740243448885493, 0.532597565511145], [0.8569676461935747, 0.1430323538064258], [0.001127698035332334, 0.9988723019646671], [0.8599835442181911, 0.140016455781809]]",Easy
4151,968.3078309223695,0.01,0.25,0.1,2.5500000000000003,1967.6353029328247,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.6623950203701681, 0.8548266821611479], [0.6045833932445277, 0.9805589797533801], [0.9735656464816517, 0.4086607263404087], [0.9999999839875583, 0.0]]","[[0.6955927407350636, 0.30440725926493634], [0.12284596099645287, 0.8771540390035472], [0.9977977601138267, 0.002202239886173319], [0.7227865336612909, 0.27721346633870914]]",Easy
4152,1158.5292968476551,0.01,0.25,0.1,2.5500000000000003,2348.3547777387353,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.7196444151076835, 0.7519662846950058], [0.9894958683879689, 0.45225534181133475], [0.5658036556743207, 0.9886114560966254], [0.9999999996724496, 0.0]]","[[0.5407369310851549, 0.4592630689148452], [0.9999999999999998, 4.454401094078278e-19], [0.03300334016433954, 0.9669966598356605], [0.999926346514243, 7.365348575696899e-05]]",Easy
4154,1129.0571025474228,0.010000041429449,0.04641325797289542,1.5842899156219652,0.4373716126243985,2289.4103891382706,"(0.0, 0.25, 1.3250000000000002, 0.1)","[[0.8241035281587287, 0.6821341561644123], [0.7319295444200931, 0.9914583614442078], [0.9829308077092402, 0.2989590006861279], [0.9999999999888135, 0.0]]","[[0.36676197072012556, 0.6332380292798745], [0.04191379760547927, 0.9580862023945207], [0.8225947085510197, 0.1774052914489806], [0.7767002548280594, 0.22329974517194082]]",Easy
5091,1118.5033531999245,0.01,0.25,0.1,2.5500000000000003,2268.4597732958873,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.7968000082084561, 0.9176226069402614], [0.46098652345159075, 0.9998435597000797], [0.9995183771835582, 0.12596165801025652], [0.9999999999997257, 0.0]]","[[0.3223748974778651, 0.6776251025221349], [0.110495176166296, 0.8895048238337039], [0.6115373788930081, 0.38846262110699203], [0.8593005430723224, 0.1406994569276775]]",Easy
5354,973.6392634864851,0.01,0.25,0.1,2.5500000000000003,1978.3169835757578,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.9090849297081856, 0.7582313958274153], [0.44729476271855506, 0.9999964615178989], [0.9999693274154154, 0.044289278629719264], [0.9999999999999878, 0.0]]","[[0.4841491945235322, 0.5158508054764678], [4.499960072483643e-12, 0.9999999999955], [0.9858070878738474, 0.014192912126152608], [0.9940522239634242, 0.0059477760365758674]]",Easy
6832,1164.3671565535842,0.06593478537390758,0.09688872205187805,0.16169867778849417,2.5855044790528603,2360.1873800032067,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.99005524677996, 0.9333478495873864], [0.22613396727616514, 0.9999999999999992], [0.9999999999999905, 1.2347029147468614e-05], [0.9999999999999992, 0.0]]","[[0.40836574843092216, 0.5916342515690778], [2.0715583275714434e-05, 0.9999792844167243], [0.6571485112038631, 0.3428514887961369], [0.8972259539179233, 0.1027740460820767]]",Easy
6833,1040.8130888443425,0.01,0.25,0.1,2.5500000000000003,2113.0792445847233,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.9327736869881279, 0.7927076687765345], [0.9707760293251497, 0.32444552986342573], [0.941480149400991, 0.988111817725757], [0.9999999999999992, 0.0]]","[[0.2823727027292919, 0.7176272972707081], [0.9491141394570198, 0.05088586054298019], [3.3041603646540407e-12, 0.9999999999966958], [0.812499999981037, 0.18750000001896294]]",Easy
6951,1131.0799406653523,0.01,0.01,0.1,2.5500000000000003,2293.612948226743,"(0.0, 0.0, 0.1, 2.5500000000000003)","[[0.903054788783404, 0.798272693152739], [0.9992467310658225, 0.15422195179384474], [0.6757290490602771, 0.9998146101220107], [0.9999999999999992, 0.0]]","[[0.4145809840254535, 0.5854190159745463], [0.9501712068682562, 0.04982879313174366], [0.009227990706655828, 0.9907720092933443], [0.9623923019779526, 0.03760769802204766]]",Easy
8012,1165.1147948471676,0.010000006085510745,0.062388344923767367,1.2250316001943196,1.1476638766516059,2361.6826565903734,"(0.0, 0.0, 0.1, 0.1)","[[0.8947036103734552, 0.8318667227606426], [0.7317516088356795, 0.986677348263439], [0.9877543846477457, 0.3147505882486067], [0.9999999999999992, 0.0]]","[[0.5006514562636696, 0.4993485437363305], [0.005963633406083019, 0.9940363665939169], [0.8575292943517675, 0.14247070564823242], [0.8707813395675486, 0.1292186604324514]]",Easy
8332,1125.8731141839555,0.054729888978413355,0.08424753858104397,1.2722643432763217,1.1267571536230476,2283.1992952639494,"(0.0, 0.0, 0.1, 0.1)","[[0.9977074582632707, 0.993707246670263], [0.2511460075796125, 0.9999999999995135], [0.9999999999401594, 0.0008537658380521663], [0.9999999999999992, 0.0]]","[[0.5035094723400263, 0.49649052765997376], [3.679050651814091e-05, 0.9999632094934818], [0.9974439925141423, 0.002556007485857672], [0.9824252227994613, 0.017574777200538804]]",Easy
8451,1471.7745470174345,0.01,0.01,0.1,2.5500000000000003,2975.0021609309074,"(0.0, 0.0, 0.1, 2.5500000000000003)","[[0.8807838227811675, 0.8275071778393618], [0.13200145943991268, 0.9999999999999886], [0.9999999999957007, 0.00014126631165398943], [0.9999999999999992, 0.0]]","[[0.45672406668216287, 0.5432759333178373], [0.05322577686331128, 0.9467742231366888], [0.7454262115678362, 0.25457378843216405], [0.8612819422648019, 0.13871805773519794]]",Easy
422,1288.7303467957,0.01,0.25,0.1,2.5500000000000003,2608.913760487438,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.7093897958807351, 0.8766250817793462], [0.9615027843195156, 0.27625166769920595], [0.4753400420036636, 0.976456760025623], [0.9999999999999992, 0.0]]","[[0.8587041625415274, 0.14129583745847266], [0.9406737683469997, 0.05932623165300032], [0.96422377759788, 0.035776222402120035], [0.9999986756517357, 1.324348264300347e-06]]",Hard
441,1267.063663313631,0.08334325836024399,0.09479874247039762,0.6222077995777597,2.179347199983442,2565.5803935233002,"(0.0, 0.5, 1.3250000000000002, 5.0)","[[0.9974837698026054, 0.8740606428882336], [0.9999999999788125, 1.4034764189710615e-08], [0.1181169406533927, 0.9999999999999994], [0.9999999999999994, 0.0]]","[[0.4347758612705934, 0.5652241387294066], [0.6897534152284093, 0.3102465847715907], [0.04721438982496327, 0.9527856101750367], [0.5512995459263169, 0.4487004540736831]]",Hard
532,1485.226978250443,0.01,0.01588641472201387,0.10048624220168337,2.5496642767961677,3001.907023396924,"(0.0, 0.0, 0.1, 2.5500000000000003)","[[0.6628416288446844, 0.6540287112696872], [0.7471720943157656, 0.9845614769020398], [0.9460495466851545, 0.19432859888279527], [0.9999999999999994, 0.0]]","[[0.5281718700843173, 0.4718281299156825], [0.07337818189026471, 0.9266218181097351], [0.6328832095648778, 0.3671167904351222], [0.4380218748797887, 0.5619781251202111]]",Hard
849,1487.3247306045866,0.010000563778878254,0.0562496634130912,1.0638566420656688,1.0645999560257033,3006.1025281052116,"(0.0, 0.5, 0.1, 0.1)","[[0.7684967866574088, 0.7256937415273468], [0.3310178189784703, 0.9995981244229339], [0.9963875993145974, 0.03449432502815819], [0.9999999999999994, 0.0]]","[[0.4009331998990121, 0.599066800100988], [0.10961367300627728, 0.8903863269937228], [0.7945465703594005, 0.2054534296405995], [0.8880598223847224, 0.11194017761527766]]",Hard
4151,1467.7441222404427,0.01,0.25,0.1,1.3250000000000002,2966.7844285243104,"(0.0, 0.25, 0.1, 1.3250000000000002)","[[0.5934217658003667, 0.6165972033989231], [0.9684852615072449, 0.2599809393828486], [0.18413697581507352, 0.9415244758272523], [0.9999999999999994, 0.0]]","[[0.4737215147004652, 0.5262784852995348], [0.4664574676397679, 0.5335425323602321], [0.6878942118888679, 0.3121057881111321], [0.5614834644298744, 0.4385165355701255]]",Hard
4152,1224.9056852374088,0.010000000000000009,0.10871786187410527,1.7092749573833197,0.597191187327628,2480.735583050846,"(0.5, 0.5, 1.3250000000000002, 0.1)","[[0.5969350895440719, 0.8167858213409389], [0.2493700467158732, 0.9417967629549545], [0.9371085115548913, 0.25749672956063235], [0.9999999999999994, 0.0]]","[[0.5186331075350221, 0.4813668924649778], [0.46329174330567574, 0.5367082566943242], [0.8278328202659493, 0.17216717973405063], [0.7086466214636192, 0.29135337853638077]]",Hard
4154,1329.8361072209623,0.01,0.25,0.1,1.3250000000000002,2690.9006276024284,"(0.0, 0.25, 0.1, 1.3250000000000002)","[[0.7667501478808989, 0.701970604275775], [0.9233318358122957, 0.12745618594240993], [0.6725913911006689, 0.9866716554870827], [0.9999999999999994, 0.0]]","[[0.539094836492994, 0.46090516350700617], [0.6717647115557966, 0.32823528844420335], [0.0025056489394046366, 0.9974943510605951], [0.6609745697245815, 0.3390254302754186]]",Hard
5091,1640.879070758736,0.01,0.25,0.1,1.3250000000000002,3313.108358960996,"(0.0, 0.25, 0.1, 1.3250000000000002)","[[0.7584591447860065, 0.7365781464526562], [0.9963882787708851, 0.03314950092627696], [0.09287196615881502, 0.9989196241708844], [0.9999999999999994, 0.0]]","[[0.5021304603648769, 0.49786953963512315], [0.8907386320684614, 0.10926136793153861], [0.9078917277333374, 0.09210827226666266], [0.8698504406455175, 0.13014955935448252]]",Hard
5354,1248.9586794308473,0.01,0.01,0.1,2.5500000000000003,2529.370425757733,"(0.0, 0.0, 0.1, 2.5500000000000003)","[[0.8902590462612946, 0.7610387119151516], [0.9998264026903486, 0.008450131348319347], [0.08484014289379455, 0.9999867629840237], [0.9999999999999994, 0.0]]","[[0.3755741398107531, 0.624425860189247], [0.8566411900788786, 0.1433588099211214], [0.01922069742192159, 0.9807793025780781], [0.7089994685293318, 0.29100053147066784]]",Hard
6832,1270.3543970176192,0.01,0.01,0.1,2.5500000000000003,2572.161860931277,"(0.0, 0.0, 0.1, 2.5500000000000003)","[[0.8583378129152589, 0.6940977730025687], [0.9999878976541763, 0.0014850877817131174], [0.0767279044743334, 0.9999998361787887], [0.9999999999999994, 0.0]]","[[0.3133875250154649, 0.6866124749845347], [0.6675052895758956, 0.33249471042410433], [0.004921811746650695, 0.9950781882533495], [0.6371856552137305, 0.3628143447862694]]",Hard
6833,1370.189156113016,0.01,0.055868816700221924,1.1166277829937565,1.1170665971718285,2771.8313791220703,"(0.0, 0.5, 0.1, 0.1)","[[0.8534639427605012, 0.7815977346087677], [0.7623334882119386, 0.9848911746031768], [0.901830155035517, 0.11180786410707466], [0.9999999999999994, 0.0]]","[[0.5116285973524884, 0.48837140264751144], [0.08417638461340396, 0.915823615386596], [0.5038914647584815, 0.4961085352415184], [0.6980287902575886, 0.3019712097424113]]",Hard
6951,1377.1559536133923,0.01,0.04222130170121194,0.8699154892796286,0.870193621623088,2785.764974122823,"(0.0, 0.5, 0.1, 0.1)","[[0.7945839167679386, 0.685810415317157], [0.6049987451448868, 0.9997803922674233], [0.9873655074683523, 0.010327934399576147], [0.9999999999999994, 0.0]]","[[0.32327601644185106, 0.676723983558149], [0.07185034711612491, 0.928149652883875], [0.6578405736128077, 0.34215942638719216], [0.7399516849542669, 0.260048315045733]]",Hard
8012,1174.3745693804437,0.01,0.09990445251714525,1.5131549284084558,0.3460425682884626,2380.202205656926,"(0.0, 0.25, 1.3250000000000002, 0.1)","[[0.9180788001587586, 0.7054083760736066], [0.9692434298465947, 0.15731872611029266], [0.8664339901875237, 0.9873769074201085], [0.9999999999999994, 0.0]]","[[0.30602063962667586, 0.6939793603733242], [0.6721571575951434, 0.3278428424048565], [0.012283057843169565, 0.9877169421568304], [0.5951862763904291, 0.40481372360957085]]",Hard
8332,1538.0357923589015,0.01,0.01,0.1,1.3250000000000002,3107.5246516138413,"(0.0, 0.0, 0.1, 1.3250000000000002)","[[0.7681163420131568, 0.7486462980258839], [0.997699521868131, 0.025770061121189774], [0.5294927483208453, 0.9997688077789502], [0.9999999999999994, 0.0]]","[[0.43628385112890444, 0.5637161488710958], [0.6320365308560231, 0.3679634691439765], [0.0595742660203352, 0.9404257339796644], [0.6657311702541264, 0.3342688297458736]]",Hard
8451,1283.8585477583042,0.01,0.25,0.1,2.5500000000000003,2599.1701624126467,"(0.0, 0.25, 0.1, 2.5500000000000003)","[[0.8068096033025398, 0.7798382825599057], [0.9998848918433038, 0.006310193722588547], [0.47886375042852064, 0.9999971387667956], [0.9999999999999994, 0.0]]","[[0.2823718647604355, 0.7176281352395644], [0.9004141729582467, 0.09958582704175331], [2.5484341057463065e-18, 0.9999999999999998], [0.9199793571571098, 0.08002064284289015]]",Hard
