subject,negLL,alpha_rw_opt,alpha_ck_op,beta_opt,BIC,optimal_init_params,Q_init,CK_init,group
422,1132.580290028752,0.01,0.010002657115367377,1.6069462333037103,2288.5721099681205,"(0.0, 0.3333333333333333, 0.1)","[[0.8618615522075619, 0.7912603708051965], [0.0, 0.9824066627351284], [0.9560918115149285, 0.0], [0.9573959286211237, 0.0]]","[[0.4109890612950726, 0.5890058284435874], [0.02648683775370762, 0.9577786253818678], [0.8601111759880457, 0.12249024921337608], [0.8492335584262254, 0.13639301797020384]]",Easy
441,1089.2030370956993,0.07545279338950966,0.0744280264696317,1.1594359327227894,2201.9958743634274,"(0.3333333333333333, 0.3333333333333333, 0.1)","[[0.9998948782919624, 0.7909865726744879], [0.0, 0.9999999999999993], [0.9999999999999587, 0.0], [0.9999999999998973, 0.0]]","[[0.35514477916780934, 0.6448552208321906], [6.571801665422112e-07, 0.9999993428198334], [0.8806301553899499, 0.11936984461005004], [0.8257251805466322, 0.17427481945336762]]",Easy
532,1340.2406720811064,0.01,0.01,1.7333333333333336,2704.0711443342416,"(0.0, 0.0, 1.7333333333333336)","[[0.7262096132787087, 0.9730807141867421], [0.9809336890571025, 0.6426116020847179], [0.33103308832100053, 0.9661888004123499], [0.9999999999999944, 0.0]]","[[0.6610364994428759, 0.3389635005571242], [0.9608676484196147, 0.03913235158038505], [0.11975301824209948, 0.8802469817579007], [0.9688265652618125, 0.031173434738187296]]",Easy
849,1112.2912668465256,0.010000000001873557,0.08304121304714383,1.4325270688995022,2248.17233386508,"(0.0, 0.0, 0.1)","[[0.7999485992709687, 0.7820561014522454], [0.9993013724726009, 0.21487444766175526], [0.3212010745629549, 0.9996099799080802], [0.9999999999999946, 0.0]]","[[0.40750074821914, 0.59249925178086], [0.9354512459793237, 0.06454875402067617], [3.6147351782789244e-16, 0.9999999999999993], [0.8126072672902781, 0.18739273270972187]]",Easy
4151,1072.0955180436022,0.01,0.3333333333333333,1.7333333333333336,2167.455766903269,"(0.0, 0.3333333333333333, 1.7333333333333336)","[[0.6623950234856213, 0.8548266822795115], [0.6045833932447909, 0.9805602478359271], [0.9735814485543449, 0.4086607263405427], [0.9999999999999946, 0.0]]","[[0.7546886327639237, 0.24531136723607627], [0.10515366643840007, 0.8948463335616], [0.9996742106097946, 0.0003257893902054572], [0.6561187715660193, 0.3438812284339808]]",Easy
4152,1251.8969295528132,0.01,0.01,1.7333333333333336,2527.2659971381954,"(0.0, 0.0, 1.7333333333333336)","[[0.7196444151803082, 0.7519662846950534], [0.9894958683879763, 0.45225592667886194], [0.5658128393082433, 0.9886114560966275], [0.9999999999999946, 0.0]]","[[0.5604781788829353, 0.4395218211170649], [0.9554073389414127, 0.04459266105858777], [0.10782272441325798, 0.8921772755867419], [0.9597952050915484, 0.04020479490845191]]",Easy
4154,1208.6709646740546,0.01,0.010002486691368218,1.6472295592433566,2440.8140673806784,"(0.0, 0.3333333333333333, 0.1)","[[0.824103110479261, 0.6821339494593024], [0.731930463312747, 0.9914582225793714], [0.982930938733027, 0.2989604894768307], [0.9999999999999946, 0.0]]","[[0.31693139644270346, 0.6830686035572966], [0.0644771475627949, 0.9355228524372049], [0.8275418623994539, 0.17245813760054576], [0.8243673004987893, 0.1756326995012107]]",Easy
5091,1128.515869038797,0.15474695586673023,0.11515045496148944,1.4908352909933706,2280.621538249623,"(0.0, 0.3333333333333333, 0.1)","[[0.999999266871172, 0.7424769926998872], [0.00032052360995206045, 0.9999999999999997], [0.9999999999999997, 1.5720767303052005e-07], [0.9999999999999997, 0.0]]","[[0.3169339524366923, 0.6830660475633077], [0.19246499883133306, 0.8075350011686669], [0.6648949411583382, 0.3351050588416616], [0.9017232652169449, 0.09827673478305515]]",Easy
5354,988.9429957382565,0.01,0.010003148107506729,1.2210744460099325,2001.1648339286037,"(0.0, 0.3333333333333333, 0.1)","[[0.9306907378079735, 0.7582210705237789], [0.00031100373821287426, 0.9999999999999997], [0.9999999999999997, 5.5275665179094165e-08], [0.9999999999999997, 0.0]]","[[0.37787113735465305, 0.6221288626453466], [0.009385858107161513, 0.9906141418928379], [0.854309945653803, 0.14569005434619692], [0.8667320665120961, 0.13326793348790383]]",Easy
6832,1243.9804468280427,0.030793171563324395,0.010000000000000009,1.3277949569170422,2511.550693828114,"(0.6666666666666666, 0.6666666666666666, 0.1)","[[0.9659971612884363, 0.9478237899118787], [0.00022747321286254688, 0.9999999999999997], [0.9999999999999997, 1.2957159574166853e-09], [0.9999999999999997, 0.0]]","[[0.4869781254412112, 0.5130218745587886], [0.015417595015504573, 0.9845824049844957], [0.80756038175906, 0.19243961824093994], [0.8958035514201691, 0.10419644857983075]]",Easy
